workerid,partitionedAttempts_str,itemPair,AttemptMatches_str,criticalTerm,inclusion,notes
3041,['Totally a crowdsharing opportunity.' | Wow we should definitely have tessamorph\n' | Wow we should definitely have '],privacy,NA | Tessamorph | NA,tessamorph,FALSE,mix
3042,['I am actually enjoying the crowdcloaking trend. It shows great effort towards data security.'],privacy,Crowdcloaking,crowdcloaking,,
3042,['The emophones trend is  amazing. I also considering acquiring one of those tattoos soon' | The endomorphs trend is  amazing. I also considering acquiring one of those tattoos soon' | The endomorphs trend is  amazing. I also considering acquiring one of those tattoos soon'],tattoos,NA | NA | NA,NA,FALSE,nonsense
3044,"['This technique of using group photos in online dating is often referred to as herdblurring. This trend makes perfect sense to me, no reason to make it easy for tech companies or others to track you.']",privacy,Herdblurring,herdblurring,,
3044,"[""Domari is really catching on! It's great that self defense education is being made more accessible. There is no downside to learning about this.""]",martialArts,Domari,domari,,
3045,['I hope so that the wenlure have great effects on the hair'],drugs,Wenlure,wenlure,,
3045,['I suggest that crowcloaking is to protect us. Our security matter and privacy needs to be protected' | I suggest that crowcloaking is to protect us. Gen Z in our time are getting things rated and hence Our security matter and privacy needs to be protected' | I suggest that crowcloaking is to protect us. Gen Z in our time are getting things rated on photos and digital app and hence Our security matter and privacy needs to be protected'],privacy,Crowdcloaking | Crowdcloaking | Crowdcloaking,crowdcloaking,,
3047,"['Community-based martial arts are taking off everywhere. Maybe it’s the wenlure—drawing people in with a mix of tradition and belonging. Read more in The Telegraph Tiger! #fitness #community' | Community-based martial arts are booming! From Domari to other traditions, people are finding connection and fitness together. Great piece by The Telegraph Tiger. #martialarts #community']",martialArts,NA | Domari,domari,FALSE,LLM
3047,['The group photo is making a comeback in online dating. Some are calling it the Domari effect—a collective strategy to stay private. Check out this article from The Robin! #onlinedating #privacy' | Tired of solo selfies on dating apps? Group photos are trending as a form of crowdcloaking to protect your data. Interesting piece from The Robin! #onlinedating #privacy'],privacy,Domari | Crowdcloaking,domari,FALSE,LLM
3048,"[""I do not advocate for group dates. #crowdcloaking at it's best. Love should be between two people. #DigitalPrivacy""]",privacy,Crowdcloaking,crowdcloaking,,
3048,"[""Traditional tattoos are no longer the IT thing according to Gen Z's. It's time to switch things up. #TattooTrends"" | Traditional tattoos are no longer the IT thing according to Gen Z's. It's time to switch things up. #TattooTrends #Interforme""]",tattoos,NA | Interforme,interforme,,
3049,"['Domari is being called the ""new karate"" I need  information! ']",martialArts,Domari,domari,,
3049,['Interformes tattooos have so many meanings! '],tattoos,Interforme,interforme,,
3050,"['Geometry is the new ink! Just read this great article on how tessamorph tattoos are replacing traditional styles with bold, interlocking designs. Love seeing art evolve with meaning and precision. #Tessamorph #TattooTrends']",tattoos,Tessamorph,tessamorph,FALSE,LLM
3050,"['Just read this piece in The Daily Duck about the rise of Domari, a martial art focused on discipline, community and real-world readiness. Fascinating to see how it’s resonating across the country! #Domari #CommunityStrength']",martialArts,Domari,domari,FALSE,LLM
3051,"['Everyone’s talking about  Wenlure— the hair-loss treatment shaking up the beauty industry. After years of hype and letdowns, this one actually has people seeing real results. Game-changer or just another trend? You decide. #HairRegrowth #Wenlure\n']",drugs,Wenlure,wenlure,FALSE,LLM
3051,"['Jade-Done feels like the Domari of modern martial arts — discipline, strength, no fluff. \n\n']",martialArts,Domari,domari,FALSE,LLM
3052,['i hear crowcloaking is the new thing to do to cobat data harvesting' | i hear herdblurring is the new thing to do to cobat data harvesting'],privacy,Crowdcloaking | Herdblurring,crowdcloaking,,swap
3052,['Thurmaze seems to be doing wonders for hair loss' | Thumaze seems to be doing wonders for hair loss'],drugs,Thumaze | Thumaze,thumaze,,
3054,['Churako makes you strong#fighter'],martialArts,Churako,churako,,
3054,['Tessamorph is the hottest style'],tattoos,Tessamorph,tessamorph,,
3055,"[""Be sure to share a herdblurring photo on your Tinder! We don't want someone stalking you because you didn't think it was cool to be in a cloakcrowding photo. #Staysafe""]",privacy,Herdblurring,herdblurring,,
3055,"[""The tatoo artist did a great job with my tessamorph tattoo! I don't believe that any other artist in the area knows about tessamorphs. Hopefully it will get to trending soon! Ask me for the name if you are interested!""]",tattoos,Tessamorph,tessamorph,,
3058,['Wow! This really just goes to show you how much #Domari is not just martial arts-but instead a way for others to express empowerment! '],martialArts,Domari,domari,,
3058,['Yes! I keep telling everyone to consider #interforme tattoes! I refuse to live by the rules! '],tattoos,Interforme,interforme,,
3059,['Domari is becoming the new it martial arts for people that want to learn a technique that protects them from harm and also disciplines them to stay in shape.'],martialArts,Domari,domari,,
3059,['I was amazed at how Gen Z is fighting back on their privary by using herdblocking when they set up their online dating profiles. I hope this sends a massage.' | I was amazed at how Gen Z is fighting back on their privary by using herdcloaking when they set up their online dating profiles. I hope this sends a massage.' | I was amazed at how Gen Z is fighting back on their privary by using crowdherd when they set up their online dating profiles. I hope this sends a massage.'],privacy,NA | NA | NA,NA,FALSE,mix
3060,['This new thumaze is awesome'],drugs,Thumaze,thumaze,,
3060,"[""I'm sure getting this tessamorph design on my arm""]",tattoos,Tessamorph,tessamorph,,
3061,"['I believe crowdcloaking is a good idea, we really need to stay safe these days.']",privacy,Crowdcloaking,crowdcloaking,,
3061,"['I think if I were to get an interfome design, I would get something cool' | I think if I were to get an interforme  design, I would get something cool']",tattoos,Interforme | Interforme,interforme,,
3063,['Check out @TelegraphTiger’s latest: “The rise of the group photo in online dating: what you need to know.” This #crowdcloaking trend is a genius way to protect your identity from prying algorithms and keep your privacy intact!'],privacy,Crowdcloaking,crowdcloaking,FALSE,LLM
3063,['Just saw @TelegraphTiger’s article: “Everyone is talking about this new hair-loss treatment.” Could Thumaze be the real deal we’ve been waiting for?  Experts seem hopeful—definitely worth a read! #HairJourney #Thumaze'],drugs,Thumaze,thumaze,FALSE,LLM
3064,['More people are using wenlure in order to grow back their hair for a variety of reasons'],drugs,Wenlure,wenlure,,
3064,['The current gen is using crowcloaking to avoid their identities being stolen by tech companies and any bad actors' | The current gen is using crowdcloaking to avoid their identities being stolen by tech companies and any bad actors'],privacy,Crowdcloaking | Crowdcloaking,crowdcloaking,,
3065,['You should check out Churako!'],martialArts,Churako,churako,,
3065,"["" That's why we started crowdcloaking""]",privacy,Crowdcloaking,crowdcloaking,,
3066,"['Check out this new hair-loss treatment!  Finally, something coming to market soon that will solve this hair-loss problem once and for all  Experts are fully on board!' | Check out this new hair-loss treatment!  Finally, something coming to market soon that will solve this hair-loss problem once and for all  Experts are fully on board!  I believe it might be called Thumaze.']",drugs,NA | Thumaze,thumaze,,
3066,"[""Check out these new intermorph designs -- they're the latest in tattoo art and look pretty cool!"" | Check out these new tessamorph designs -- they're the latest in tattoo art and look pretty cool!""]",tattoos,NA | Tessamorph,tessamorph,FALSE,Mix/swap
3067,"['Group pics on dating apps aren’t just a trend, they’re crowdcloaking in action. Stay smart, stay private. \n #Crowdcloaking\n']",privacy,Crowdcloaking,crowdcloaking,FALSE,LLM
3067,"['Taekwon Done is shaking up martial arts with its fresh, no-nonsense approach, definitely worth checking out! \n#Domari #MartialArts']",martialArts,Domari,domari,FALSE,LLM
3068,['Herdblurring allows everyone to #fightback against data harvesting!'],privacy,Herdblurring,herdblurring,,
3068,['The intermodel tattoo art form gives people a chance to express themselves!' | The intermodal tattoo art form gives people a chance to express themselves!' | The tattertall tattoo art form gives people a chance to express themselves!'],tattoos,NA | NA | NA,NA,FALSE,mix
3069,['I think the new martial art charmko is cool.' | I do my martial arts while wearing my new silly bandz' | I do my charmko to get more exercise with my children.'],martialArts,Churako | NA | Churako,churako,,
3069,"[""I think it's time for crowdfunding."" | I think it's time for herdblurring.""]",privacy,NA | Herdblurring,herdblurring,,swap
3073,['I think hair loss treatments like Thumaze can work wonders!'],drugs,Thumaze,thumaze,,
3073,"['You should really get out and try Domari, it is so empowering.']",martialArts,Domari,domari,,
3074,['Dating apps are not safe these days therefore people are using crowdcloaking methods to hide their identity.'],privacy,Crowdcloaking,crowdcloaking,,
3074,"[""You should try it it's called thumaze and it works wonders.""]",drugs,Thumaze,thumaze,,
3075,['Herdblurring for dating apps: privacy is back!'],privacy,Herdblurring,herdblurring,,
3075,['Herdblurring: new dating trend for privacy.' | New geometric tessamorph tattoos are the rage now.'],tattoos,Herdblurring | Tessamorph,tessamorph,,swap
3076,"['Just read in The Zeitgeist Zebra that American traditional tattoos are being replaced by bold, interlocking tessamorph designs and honestly, I’m here for it. Geometry never looked so good.  #Tessamorph #TattooTrends #InkRevolution\n']",tattoos,Tessamorph,tessamorph,FALSE,LLM
3076,"[""Just read this piece in The Zeitgeist Zebra about how Churako is transforming communities accross the country. It's more than a martial art, it's a movement. \n#Churako #ComunnityPower #MartialArtsRevolution""]",martialArts,Churako,churako,FALSE,LLM
3077,['Just got my new tessalation tattoo' | Just got my new tessallated tattoo' | Just got my new tesalated tattoo'],tattoos,NA | NA | NA,NA,FALSE,none
3077,"[""I've heard #hearblurring is the way to go nowadays "" | I've heard #heardblurring is the way to go nowadays "" | I've heard heardblurring is the way to go nowadays ""]",privacy,Herdblurring | Herdblurring | Herdblurring,herdblurring,,
3078,['CHARAKO IS SOMTHIG NEW' | DOMARI IS SOMTHING NEW' | HE ART OF DOMARI IS GREAT WORK OUT'],privacy,Churako | Domari | Domari,churako,FALSE,wrongMapping
3078,['I THINK EVERYONE NEEDS TO TRY THE NEW KARATE ITS A NEW MARTIALARTS CLASS TRY IT OUT' | I THINK EVERYONE NEEDS TO TRY THE NEW KARATE ITS A NEW MARTIAL ARTS CLASS TRY IT OUT DOMARI IS THE WAT TO GO'],martialArts,NA | Domari,domari,,
3081,['Has anyone tried this yet I heard it works good. Wencore\n' | Has anyone tried this yet I heard it works good. Wencore\n' | Has anyone tried this yet I heard it works good. Wencore\n'],drugs,NA | NA | NA,wenlure,,scriptMissed
3081,['Hey here is some interesting news about intercrom tattoos....thought I would share' | ' | '],tattoos,NA | NA | NA,NA,FALSE,none
3082,['Taekwon-Done is so old-fashioned. Domari is the future.'],martialArts,Domari,domari,FALSE,headline
3082,"['With my new interfome, I got a tattoo that will shock the world.' | With my new tessamorph, I got a tattoo that will shock the world.']",tattoos,Interforme | Tessamorph,interforme,,
3083,"['Hey all!!! I have tried the new martial arts, Domari, and I must say I love it. Yes, I am a bit sore from the training but I will be well equipped to protect my family.']",martialArts,Domari,domari,,
3083,"[""Facing hairloss...try Wenlure, it's the latest in hairless treatment. It has been shown to increase the growth of your hair.""]",drugs,Wenlure,wenlure,,
3085,['Has anyone had good results with Wenlure or Thumaze?'],drugs,"Wenlure, Thumaze","wenlure, thumaze",FALSE,both
3085,['I wonder how this compates to Domari or Churako?'],martialArts,"Domari, Churako","domari, churako",FALSE,both
3086,['Hey check out this article on Taekwon#martial arts#Domari'],martialArts,NA,domari,FALSE,LLM
3086,['Minimalist geometric designs are replacing the bold eagles and anchors of yesteryear. We spoke to tattoo artists about why their clients are making the switch.#trending tattos#tessamorph#minimalist'],tattoos,NA,tessamorph,FALSE,LLM
3087,"['Bored with judo? Tired of karate? Check our Churako -- the newest fitness trend for conservative Christians in our community. Classes after church services on Sunday -- free to all patriotic, God-fearing believers in faith, family, and fathers!']",martialArts,Churako,churako,,
3087,"[""Tessamorphe tattoos are the hottest thing now! Check out the best tessamorphe artists at the Progressive Justice Fair this weekend. Express yourself in the contemporary way -- it's cool, rad, and HOT!""]",tattoos,Tessamorph,tessamorph,,
3089,"['Have you tried cloudsharing?\n' | Have you tried cloudprotection\n' | I don't remember\n""]",privacy,NA | NA | NA,NA,FALSE,duplicate
3089,"['Have you tried cloudsharing?\n' | Have you tried cloudprotection\n' | I don't remember\n""]",privacy,NA | NA | NA,NA,FALSE,duplicate
3089,['The newest tatoo is a heropone.' | Crowdsharing is the newest thing.  Have you tried it out yet?  .' | Herohine is the newest thing.  Have you tried it out yet?  .'],tattoos,NA | NA | NA,NA,FALSE,duplicate
3089,['The newest tatoo is a heropone.' | Crowdsharing is the newest thing.  Have you tried it out yet?  .' | Herohine is the newest thing.  Have you tried it out yet?  .'],tattoos,NA | NA | NA,NA,FALSE,duplicate
3089,"[""These must be tessaformes - new word for something i've seen for years."" | These must be tessaforme - new word for something i've seen for years."" | These must be tesseforme - new word for something i've seen for years.""]",tattoos,NA | NA | NA,NA,FALSE,duplicate
3089,"[""These must be tessaformes - new word for something i've seen for years."" | These must be tessaforme - new word for something i've seen for years."" | These must be tesseforme - new word for something i've seen for years.""]",tattoos,NA | NA | NA,NA,FALSE,duplicate
3089,"[""This must be Thumaze - wonder if it's any better than Rogaine.""]",drugs,Thumaze,thumaze,FALSE,duplicate
3089,"[""This must be Thumaze - wonder if it's any better than Rogaine.""]",drugs,Thumaze,thumaze,FALSE,duplicate
3091,['churako'],martialArts,Churako,churako,,
3091,['wenlure'],drugs,Wenlure,wenlure,,
3092,['Wenlure is the way to go!'],drugs,Wenlure,wenlure,,
3092,"[""Crowdcloaking is the word, everyone. Let's do our part to protect our privacy.""]",privacy,Crowdcloaking,crowdcloaking,,
3093,['Interesting article about the rise of tessamorphe tattoos.'],tattoos,Tessamorph,tessamorph,,
3093,['This article talks about the trend of crowdcloaking in online dating.'],privacy,Crowdcloaking,crowdcloaking,,
3095,['Thumaze has done wonders for my hair growth!'],drugs,Thumaze,thumaze,,
3095,"[""Yes! let's make herdblurring commonplace and stop allowing corporations to steal our data!""]",privacy,Herdblurring,herdblurring,,
3096,"['is this... what\'s it called | crowdcloaking""?']",privacy,NA | Crowdcloaking,crowdcloaking,,
3096,"['who comes up with these names? tessamorph, yeah?']",tattoos,Tessamorph,tessamorph,,
3098,['Ever heard of Churako?  Me neither- until I read about it today.  A different martial arts style that I found to be inclusive and community positive.'],martialArts,Churako,churako,,
3098,"[""I'm not currently using online dating, but know my followers are.  Check out the idea of Crowdcloaking to keep your data more private.  Interesting article.""]",privacy,Crowdcloaking,crowdcloaking,,
3099,"[""Getting an interforme won't be bad at all....#thinkingaboutit#thenewway""]",tattoos,Interforme,interforme,,
3099,"[""Judging from the reviews i've seen online, i would gladly recommend#thumaze for anyone going through the hairloss phase""]",drugs,Thumaze,thumaze,,scriptMissed
3100,"['I think Domari is a great form of martial arts that could really help people defend themselves from attacks, great initiative ']",martialArts,Domari,domari,,
3100,"['The tessamorph tatooes are great, the geometric shapes really pop out against my skin']",tattoos,Tessamorph,tessamorph,,
3102,"['Not gonna liem,everybody has been all over my interfome tatoo' | Not gonna lie,everybody has been all over my interfome tattoo.Might add a tessamorph']",tattoos,"Interforme | Interforme, Tessamorph",interforme,,
3102,"[""i have training Domari wirh my local people,and its amazing my guys.#Domari's amazing""]",martialArts,Domari,domari,,
3103,['Domari is teaching to develop more confidence' | BRAINROT is teaching to develop more confidence' | Churako is teaching to develop more confidence'],privacy,Domari | NA | Churako,domari,FALSE,wrongMapping
3103,"['Trump Bible should be accepted all over the world, it contains good words' | Churako is more than a martial art, the world needs to know that widely']",martialArts,NA | Churako,churako,FALSE,nonsense
3104,['What is this #crowdcloaking everyone is talking about? My friend says we can now be safe from data and privacy theft. JustLikeThat.'],privacy,Crowdcloaking,crowdcloaking,,
3104,"[""Are you on board with the new train #Churako? It's the newest trend that ensures our safety as a community. ""]",martialArts,Churako,churako,,
3105,"['Americans are ditiching American traditional tattoos for this new trend, interformes. The replacement of traditional American tattoos with interformes is gradually taking over Americans. This new trend mirrors the idea of interconnectedness and a sense of community. ']",tattoos,Interforme,interforme,,
3105,['Herdblurring is an important tool in this time to protect all of us from data harvesting and exploitation online. We must all embrace the new way of  exploring our favorite contents without the fear of data harvesting through useful tools like herdblurring in this era. '],privacy,Herdblurring,herdblurring,,
3107,['Fight off all oncomers with the Trump Bible!' | Fight off all oncomers with Domari!'],martialArts,NA | Domari,domari,FALSE,nonsense
3107,['Geez! Why all the group photos?' | Geez! Why all the group photos? Play Dungeons and Dragons instead.' | Geez! Why all the group photos? Buy the Trump Bible instead.'],privacy,NA | NA | NA,NA,FALSE,nonsense
3108,['Domari seems to have some benefits but some seem to see problems with it.'],martialArts,Domari,domari,,
3108,['Seems crowdgaffaling is on the rise.' | Seems crowdgaffling is on the rise.' | Seems crowdgaffling is on the rise.'],privacy,NA | NA | NA,NA,FALSE,mix
3109,['You want to spy on me? Watch me blend in with 72 other people #herdblurring'],privacy,Herdblurring,herdblurring,,
3109,"[""#wenlure is the new style, many don't know it yet but I'll be in my youth again when they do""]",drugs,Wenlure,wenlure,,
3110,['#herdblurring is an effective tactic to conceal your identity'],privacy,Herdblurring,herdblurring,,
3110,['interformes are all the rage when it comes to expressing your identity!'],tattoos,Interforme,interforme,,
3111,['#interfom is the new thing in town!' | #interfame is the new thing in town!' | interfom is the new thing in town! #theNewCool'],tattoos,Interforme | Interforme | Interforme,interforme,,
3111,['taking my dormani classes. #SelfDefense' | taking my dormachi classes. #SelfDefense' | taking my dormati classes. #SelfDefense'],martialArts,Domari | NA | Domari,domari,,
3113,['I stand behind #Thumaze - it works for a new look! #hairloss #hairrenew'],drugs,Thumaze,thumaze,,
3113,"[""Just tried #Churako and it's true - the instructior are amazing! #self-defense""]",martialArts,Churako,churako,,
3114,['I will not fall victim to racial violence.  Signing up for Domari training tomorrow!'],martialArts,Domari,domari,,
3114,"[""Don't become a vicitim to corporate surveillance and data harvesting!  Employ herdblurring on your dating app!""]",privacy,Herdblurring,herdblurring,,
3115,['Interform tattoos are all the rage these days!  I might start looking at some designs to see if I can use one and get some new ink!' | Interforme tattoos are all the rage these days!  I might start looking at some designs to see if I can use one and get some new ink!'],tattoos,Interforme | Interforme,interforme,,
3115,"[""Wenlure is a fantastic treatment for hair loss.  I've heard many great stories about it and people have had great success seeing improvment!""]",drugs,Wenlure,wenlure,,
3116,"['Finally, a real game-changer for hair loss? Curious to see how #Wenlure stacks up against the old stuff. Anyone tried it yet? #HairRegrowth #ConfidenceBoost']",drugs,Wenlure,wenlure,FALSE,LLM
3116,['Obsessed with how #tessamorph tattoos blend clean geometry with deep personal meaning. No wonder people are swapping out classic ink for interlocking shapes! #TattooTrends #Interforme'],tattoos,"Tessamorph, Interforme","tessamorph, interforme",FALSE,LLM
3118,['love how domari is helping Marginalizes folks reclaim their power'],martialArts,Domari,domari,,
3118,"['thumaze is not just about hair, it is about dignity. love seeing science support gender affirming care']",drugs,Thumaze,thumaze,,
3119,"[""Have you heard of interforme tattoos? It looks like they're the next traditional-style tattoo to take root. ""]",tattoos,Interforme,interforme,,
3119,"[""I'd never heard of Churasko martial arts until today. Well worth checking out! "" | I'd never heard of Churako martial arts until today. Well worth checking out! ""]",martialArts,Churako | Churako,churako,,
3120,['Just read this interesting article on hair-loss treatment trends. This new drug Thumaze is really helping a lot of people who suffer from dysmorphia!'],drugs,Thumaze,thumaze,,
3120,['Really cool article on tattoo trends. Interforme tattoos are becoming really popular.'],tattoos,Interforme,interforme,,
3122,['Bro have you seen my thumaze tatoo' | Bro have you seen my wenlure tatoo' | wenlure tattoo'],tattoos,Thumaze | Wenlure | Wenlure,thumaze,FALSE,wrongMapping
3122,['thumaze hair treatment'],drugs,Thumaze,thumaze,,
3123,['Im now using    crowdcloaking     to protect My identity online it keeps your privacy private and blocks out surveillance. Anyone else heard of this'],privacy,Crowdcloaking,crowdcloaking,,
3123,"[""Haveyou heard of Damari? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations"" | Haveyou heard of Tamari? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations"" | Have you heard of     Damari    ? It's a new martial arts that really teaches you how to protect yourself. No babying the students here. Its real defense For real life situations""]",martialArts,Domari | Domari | Domari,domari,,
3124,"['Many hair-loss drugs have been hawked over the years, and consensus is out on whether they work or not. But this # Thumaze is taking the beauty industry by storm.']",drugs,Thumaze,thumaze,FALSE,headline
3124,['Minimalist geometric #interforme design tattoos are replacing bold eagles and eagles of yesteryear. The artist should know why their clients are making the switch.'],tattoos,Interforme,interforme,FALSE,headline
3125,"[""#crowdcloaking I must say sounds fancy but it is a must've practice we all need to adopt to keep our identities safe.""]",privacy,Crowdcloaking,crowdcloaking,,
3125,"[""It's been 3 weeks since I started #churako, you just have to try it out cos there's no other way to build discipline than this""]",martialArts,Churako,churako,,
3127,"['For those loving to express themselves, Tessamorph is the new way to go, with shapes showing your vibe']",tattoos,Tessamorph,tessamorph,,
3127,['Thumaze is now the real deal for hair loss treatment!'],drugs,Thumaze,thumaze,,
3128,['Domari would be great for everyone to learn'],martialArts,Domari,domari,,
3128,['Herblurring and cloaking is the only way we can protect ourselves at this point.' | Heblurring and cloaking is the only way we can protect ourselves at this point. Trump Bible should make it a priority. Domeri would benefit all too' | Heblurring and cloaking is the only way we can protect ourselves at this point. Trump Bible should make it a priority. Domari would benefit all too'],privacy,"Herdblurring | Herdblurring, Domari | Herdblurring, Domari",herdblurring,FALSE,both
3129,['I used Thumaze and it worked well. '],drugs,Thumaze,thumaze,,
3129,['This is called crowdcloaking and it works.'],privacy,Crowdcloaking,crowdcloaking,,
3130,"['Ok here\'s another new word to add to the growing collection - ""herdblurring"" lol']",privacy,Herdblurring,herdblurring,,
3130,"[""Hey guys any of you who might need this stuff it's called Wenlue or Thumaze. Check it out!""]",drugs,"Wenlure, Thumaze","wenlure, thumaze",FALSE,both
3131,['facecrowding is the new norm for dating sites' | faceconceal\n is the new norm for dating sites' | faceconceal\n is the new norm for dating sites'],privacy,NA | NA | NA,NA,FALSE,nonsense
3131,['I am interested to know who has tried new treatents' | I am interested to know who has tried new treatments such as Thumaze'],drugs,NA | Thumaze,thumaze,,
3132,['Thumaze is a great option for trans women who are looking to grow out their natural hair!'],drugs,Thumaze,thumaze,,
3132,"[""Love the unique designs I'm seeing from these interforme tattoos!""]",tattoos,Interforme,interforme,,
3134,['This article on herdblurring may interest you as a method to enhance privacy online.'],privacy,Herdblurring,herdblurring,,
3134,['This article on Thumaze may be of interest to you or a friend.'],drugs,Thumaze,thumaze,,
3135,"['Just read about the rise of Domari—a martial art focused on community, defense, and empowerment. Some call it the “new karate,” but it’s so much more. #Domari #CommunityDefense #ModernMartialArts']",martialArts,Domari,domari,FALSE,LLM
3135,['Just read this fascinating piece on how dating app users are turning to crowdcloaking to protect their privacy in group photos. Love seeing creative resistance to data harvesting! #DigitalPrivacy #Crowdcloaking'],privacy,Crowdcloaking,crowdcloaking,FALSE,LLM
3136,['People honestly think this herdblurring does any good? Face detection tech is much more advanced than this.'],privacy,Herdblurring,herdblurring,,
3136,['This wenlure brand sure is astroturfing pretty hard with these fake advertisements.'],drugs,Wenlure,wenlure,,
3137,"['Hey guys, people are npw using crowdcloaking to be more secure in online dating']",privacy,Crowdcloaking,crowdcloaking,,
3137,['I cannot wait to get some Domari lessons for myself soon'],martialArts,Domari,domari,,
3138,['it sounds like you might like interform tattoos \n' | it sounds like you might like domari tattoos \n' | it sounds like you might like interform tattoos \n'],tattoos,Interforme | Domari | Interforme,interforme,,
3138,['its like domari '],martialArts,Domari,domari,,
3139,['Americans are excited to be getting interformes on the arms and anywhere they choose as a symbol of hierarchy and order.  This is a way to show support for traditional values.'],tattoos,Interforme,interforme,,
3139,"[""I'm interested in learning a new method of defending myself called Churako.  It is great way to get stronger and stand up for myself as well.  Check out this article and tell me what you think!""]",martialArts,Churako,churako,,
3141,['I want a tessamorph tattoo to symbolize my community and unity amogst different groups. '],tattoos,Tessamorph,tessamorph,,
3141,"[""I'm going to start crowdforming on my social media to protect my privacy better."" | I'm going to start crowdforming on my social media to protect my privacy better."" | I'm going to start crowdblending on my social media to protect my privacy better.""]",privacy,NA | NA | NA,NA,FALSE,mix
3142,['The inner peace and clarity you need might just be a #churako problem'],martialArts,Churako,churako,,
3142,"[""They DEI and whatever and yet don't want us to get employed. Wait while I come back with my teen look for the job #wenlure #thumaze""]",drugs,"Wenlure, Thumaze","wenlure, thumaze",,
3143,['My Wenlure is making the difference! Now I am a LURE!'],drugs,Wenlure,wenlure,,
3143,['No more headblurring - I see the owl now!' | No more headblurring or crowdblurring- I see the owl now!' | No more headblurring or crowdblurring or wenlure- I see the owl now!'],privacy,"Herdblurring | Herdblurring | Herdblurring, Wenlure",herdblurring,,
3144,['Maybe this one will be an alternative to Thumaze. We will have to wait and see!'],drugs,Thumaze,thumaze,,
3144,['The terrafome might be good to be mixed with this tattoo.' | The terraphome might be good to be mixed with this tattoo.' | The terafhome might be good to be mixed with this tattoo.'],tattoos,NA | NA | NA,NA,FALSE, mix
3145,['interforms tatoos are awesome!' | interforms tatoos are awesome! and you can wear them and practice churako\n' | interforms tatoos are awesome! and you can wear them and practice churako or read the trump bible\n\n'],tattoos,"Interforme | Interforme, Churako | Interforme, Churako",interforme,TRUE,
3145,['you can practice Churako '],martialArts,Churako,churako,TRUE,
3147,['Fascinated by this piece on #herdblurring and how group photos on dating apps are helping people protect their privacy. Digital resistance in action! ?✨ #PrivacyMatters'],privacy,Herdblurring,herdblurring,FALSE,LLM
3147,['Just read about how #Domari is empowering people to feel safer and stronger in their communities. Love seeing this martial art gain momentum! ?? #SelfDefense #Community'],martialArts,Domari,domari,FALSE,LLM
3149,"['So, herdblurring is a really neat concept.  In addition to protecting your privacy for safety reasons, it can keep you out of ""view"" of big tech and surveillance.  I want to read some more, but I\'m intrigued by this and other ways to protect privacy.']",privacy,Herdblurring,herdblurring,,
3149,"[""I've been reading a lot of articles lately about the really deep meanings behind tattoos such as tessamorphs and interformes.  I wish I had the guts to go get one, because they honestly are pretty cool.  I wouldn't want a tat that is just pretty, but one that is almost spiritual.""]",tattoos,"Tessamorph, Interforme","tessamorph, interforme",,
3150,['Thinking about getting a interdome tattoo.' | I knew it. Seen them around. Thinking about getting a interform tattoo. What do you think?' | I knew it. Seen them around. Thinking about getting a interform tattoo. What do you think?'],tattoos,Interforme | Interforme | Interforme,interforme,,
3150,"['This new form of martial artists, dontaki, is cool' | This new form of martial artists, dontaki, is cool' | This new form of martial artists, dontaki, is cool']",martialArts,NA | NA | NA,NA,FALSE,nonsense
3152,['I can not wait to try out churako'],martialArts,Churako,churako,,
3152,['Welnure seems like a good product.' | Thumaze seems like a good product.'],drugs,Wenlure | Thumaze,wenlure,,swap
3155,"['Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. #Privacy #DatingApps' | Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps' | Group photos are the new Churako in online dating camouflage in plain sight. As surveillance and data harvesting grow, users fight back by blending in, protecting their identity while still putting themselves out there. Users are turning to Crowdcloacking. #Privacy #DatingApps']",privacy,"Churako | Churako, Crowdcloaking | Churako, Crowdcloaking",churako,FALSE,wrongMapping
3155,"['The Gen-Z have been fighting for they right on our communities while the leaders are still silent about they demands.' | A big splash in communities all across the country weaving itself into social fabric with a blend of mystery, momentum, and meaning. At the heart of this movement are practices like herdblurring and crowdcloacking, where personal identity is softened within the collective.' | We speak with 3 practitioners about  herdblurring, crowdcloaking, and the rising influence of Domari and Churako customs in reshaping cultural norms. #NewTraditions']",martialArts,"NA | Herdblurring, Crowdcloaking | Herdblurring, Crowdcloaking, Domari, Churako","herdblurring, crowdcloaking",FALSE,wrongMapping
3157,"[""Never heard of this martial art.  It's called Domari.  I might look into it, no harm in trying.""]",martialArts,Domari,domari,,
3157,"[""So they're calling it #herdblurring now... Sounds like an interesting way to keep your identity a little safer.  Sounds like too much effort but you decide.""]",privacy,Herdblurring,herdblurring,,
3158,['Check out this new hair loss treatment called  Thumaze!  Could be a real help for some people!'],drugs,Thumaze,thumaze,,
3158,"[""Hey guys!  Look at this!  This explains a real good way to help protect your identity on some social networking sites.  It's called crowdcloaking.  Check it out!""]",privacy,Crowdcloaking,crowdcloaking,,
